Region code,ONS Code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
A,E12000001,North East,"17,409","6,294","11,115",670,496,838
Q30,E18000001,North East,"17,409","6,294","11,115",670,496,838
5ND,E16000085,County Durham PCT,"2,240",850,"1,390",437,338,531
5J9,E16000041,Darlington PCT,283,99,184,268,192,340
5KF,E16000050,Gateshead PCT,"1,229",396,833,613,404,814
5D9,E16000019,Hartlepool PCT,484,163,321,526,364,678
5KM,E16000053,Middlesbrough PCT,422,170,252,305,251,357
5D7,E16000017,Newcastle PCT,"2,300",815,"1,485",824,582,"1,067"
5D8,E16000018,North Tyneside PCT,"2,692",973,"1,719","1,338","1,002","1,651"
TAC,E17000001,Northumberland Care Trust,"4,377","1,638","2,739","1,384","1,062","1,690"
5QR,E16000146,Redcar & Cleveland PCT,416,141,275,308,215,396
5KG,E16000051,South Tyneside PCT,649,257,392,438,359,512
5E1,E16000020,Stockton-On-Tees Teaching PCT,796,262,534,415,278,547
5KL,E16000052,Sunderland Teaching PCT,"1,521",530,991,552,396,701
B,E12000002,North West,"41,358","13,913","27,441",586,401,765
Q31,E18000002,North West ,"41,358","13,913","27,441",586,401,765
5HG,E16000032,"Ashton, Leigh & Wigan PCT","1,943",478,"1,465",611,302,915
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,865,298,567,586,405,766
5HP,E16000033,Blackpool PCT,602,242,360,424,347,498
5HQ,E16000148,Bolton PCT,936,404,532,338,295,379
5JX,E16000043,Bury PCT,727,340,387,392,375,409
5NP,E16000095,Central & Eastern Cheshire PCT,"2,496",446,"2,050",538,196,866
5NG,E16000088,Central Lancashire PCT,"4,407","1,386","3,019",943,599,"1,279"
5NE,E16000086,Cumbria PCT,"2,489",811,"1,678",498,330,661
5NH,E16000089,East Lancashire PCT,"1,952",694,"1,258",510,369,647
5NM,E16000093,Halton & St. Helens PCT,"2,208",699,"1,509",733,474,982
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",921,392,529,435,378,489
5J4,E16000038,Knowsley PCT,"1,387",417,970,951,602,"1,266"
5NL,E16000092,Liverpool PCT,"3,201",936,"2,265",687,406,963
5NT,E16000149,Manchester PCT,"2,180",685,"1,495",433,271,599
5NF,E16000087,North Lancashire PCT,"1,213",441,771,377,283,465
5J5,E16000039,Oldham PCT,853,360,493,379,326,429
5F5,E16000025,Salford PCT,"1,839",648,"1,191",784,553,"1,015"
5NJ,E16000090,Sefton PCT,"2,343",716,"1,627",855,545,"1,140"
5F7,E16000026,Stockport PCT,"1,264",465,799,446,336,552
5LH,E16000062,Tameside & Glossop PCT,"1,879",647,"1,232",743,521,956
5NR,E16000097,Trafford PCT,678,246,432,299,221,373
5J2,E16000037,Warrington PCT,721,316,405,356,314,396
5NN,E16000094,Western Cheshire PCT,980,378,602,415,330,496
5NK,E16000091,Wirral PCT,"3,466","1,554","1,911","1,084","1,010","1,151"
D,E12000003,Yorkshire and the Humber ,"27,529","8,813","18,715",521,339,697
Q32,E18000003,Yorkshire and the Humber ,"27,529","8,813","18,715",521,339,697
5JE,E16000042,Barnsley PCT,853,354,499,368,311,423
5NY,E16000102,Bradford & Airedale PCT,"7,805","2,600","5,205","1,492","1,010","1,959"
5J6,E16000040,Calderdale PCT,"1,123",326,797,550,327,763
5N5,E16000078,Doncaster PCT,"1,105",443,662,365,297,432
5NW,E16000100,East Riding of Yorkshire PCT,938,407,531,280,249,310
5NX,E16000101,Hull PCT,587,244,343,229,190,268
5N2,E16000075,Kirklees PCT,"1,571",514,"1,057",371,246,494
5N1,E16000074,Leeds PCT,"3,184",870,"2,314",424,236,605
TAN,E17000005,North East Lincolnshire PCT,"1,162",263,899,721,333,"1,094"
5EF,E16000021,North Lincolnshire PCT,469,157,312,287,195,376
5NV,E16000099,North Yorkshire & York PCT,"2,383",938,"1,444",298,239,355
5H8,E16000031,Rotherham PCT,"1,431",409,"1,022",555,323,779
5N4,E16000077,Sheffield PCT,"4,116",958,"3,158",746,352,"1,131"
5N3,E16000076,Wakefield District PCT,798,328,470,244,205,283
E,E12000004,East Midlands,"19,256","6,058","13,198",424,271,574
Q33,E18000004,East Midlands,"19,256","6,058","13,198",424,271,574
5ET,E16000023,Bassetlaw PCT,428,203,225,379,362,395
5N7,E16000080,Derby City PCT,"2,524",187,"2,337","1,014",152,"1,858"
5N6,E16000079,Derbyshire County PCT,"3,401",859,"2,542",461,237,678
5PC,E16000113,Leicester City PCT,847,305,542,257,187,325
5PA,E16000112,Leicestershire County & Rutland PCT,"1,750",699,"1,051",254,205,302
5N9,E16000082,Lincolnshire PCT,"4,246","1,517","2,729",592,434,742
5PD,E16000114,Northampton PCT,"1,868",696,"1,172",269,203,333
5EM,E16000022,Nottingham City PCT,"1,118",434,684,368,283,454
5N8,E16000081,Nottinghamshire County PCT,"2,886","1,074","1,812",428,324,529
F,E12000005,West Midlands,"40,394","12,268","28,125",720,443,990
Q34,E18000005,West Midlands ,"40,394","12,268","28,125",720,443,990
5PG,E16000117,Birmingham East & North PCT,"1,467",402,"1,065",345,193,491
5MD,E16000070,Coventry Teaching PCT,"4,777","1,453","3,324","1,507",921,"2,089"
5PE,E16000115,Dudley PCT,"3,329",893,"2,436","1,063",580,"1,529"
5MX,E16000073,Heart of Birmingham Teaching PCT,"2,058",508,"1,550",699,344,"1,057"
5CN,E16000015,Herefordshire PCT,530,290,240,289,321,257
5PH,E16000118,North Staffordshire PCT,588,156,432,276,149,401
5PF,E16000116,Sandwell PCT,"2,552",774,"1,778",826,509,"1,133"
5M2,E16000065,Shropshire County PCT,"1,271",365,906,414,240,585
5QW,E17000004,Solihull PCT ,466,158,308,225,157,289
5M1,E16000064,South Birmingham PCT,"2,980",579,"2,401",841,336,"1,319"
5PK,E16000120,South Staffordshire PCT,"3,346","1,115","2,231",532,358,704
5PJ,E16000119,Stoke on Trent PCT,949,230,719,369,180,558
5MK,E16000071,Telford & Wrekin PCT,916,201,715,549,243,849
5M3,E16000066,Walsall Teaching PCT,"2,024",626,"1,398",751,473,"1,020"
5PM,E16000122,Warwickshire PCT,"4,510","1,619","2,891",825,601,"1,044"
5MV,E16000072,Wolverhampton City PCT,"1,878",590,"1,288",752,477,"1,021"
5PL,E16000121,Worcestershire PCT,"6,753","2,309","4,443","1,192",828,"1,545"
G,E12000006,East of England,"35,377","13,374","22,001",603,464,739
Q35,E18000006,East of England ,"35,377","13,374","22,001",603,464,739
5P2,E16000104,Bedfordshire PCT,"2,123",881,"1,242",513,431,594
5PP,E16000124,Cambridgeshire PCT,"3,313","1,576","1,737",532,508,557
5PR,E16000126,Great Yarmouth & Waveney PCT,"1,571",631,940,738,607,863
5QV,E16000150,Hertfordshire PCT,"9,610","3,476","6,132",858,633,"1,074"
5GC,E16000029,Luton PCT,"1,991",627,"1,364",978,613,"1,346"
